ID,metapredict_scores
disprot|DP00006r011 pos=1-104 term=IDPO:00056 ec=ECO:0001249 pmid=23066867,0.2012
disprot|DP00031r012 pos=1-41 term=IDPO:00056 ec=ECO:0005670 pmid=10756111,0.4575853658536585
disprot|DP00166r011 pos=167-210 term=IDPO:00056 ec=ECO:0006224 pmid=32521240,0.5458636363636363
disprot|DP00250r038 pos=19-212 term=IDPO:00056 ec=ECO:0007691 pmid=11290330,0.6098875
disprot|DP00288r050 pos=41-57 term=IDPO:00056 ec=ECO:0005670 pmid=20603017,0.3432352941176471
disprot|DP00340r002 pos=1-137 term=IDPO:00056 ec=ECO:0006236 pmid=7563063,0.2929875
disprot|DP00358r002 pos=123-160 term=IDPO:00056 ec=ECO:0006204 pmid=10543959,0.8717105263157895
disprot|DP00410r021 pos=44-114 term=IDPO:00056 ec=ECO:0001191 pmid=21799007,0.3063098591549296
disprot|DP00412r003 pos=17-31 term=IDPO:00056 ec=ECO:0006165 pmid=15238634,0.8298000000000001
disprot|DP00464r002 pos=273-284 term=IDPO:00056 ec=ECO:0006220 pmid=10647180,0.8085833333333333
disprot|DP00485r014 pos=9-24 term=IDPO:00056 ec=ECO:0006220 pmid=20164921,0.6471875
disprot|DP00486r007 pos=198-217 term=IDPO:00056 ec=ECO:0006220 pmid=20164921,0.88455
disprot|DP00653r002 pos=799-814 term=IDPO:00056 ec=ECO:0006165 pmid=15272303,0.6313124999999999
disprot|DP00656r022 pos=31-137 term=IDPO:00056 ec=ECO:0006165 pmid=20200158,0.7996749999999999
disprot|DP00728r010 pos=4-47 term=IDPO:00056 ec=ECO:0006220 pmid=11057674,0.4635
disprot|DP00728r013 pos=115-125 term=IDPO:00056 ec=ECO:0006220 pmid=11057674,0.8105454545454546
disprot|DP00728r016 pos=68-89 term=IDPO:00056 ec=ECO:0006220 pmid=11057674,0.7024090909090909
disprot|DP00728r019 pos=142-159 term=IDPO:00056 ec=ECO:0006220 pmid=11057674,0.7905555555555556
disprot|DP00730r008 pos=51-62 term=IDPO:00056 ec=ECO:0006165 pmid=17766386,0.8461666666666666
disprot|DP00775r003 pos=130-150 term=IDPO:00056 ec=ECO:0006220 pmid=12429733,0.7477619047619047
disprot|DP00775r006 pos=506-586 term=IDPO:00056 ec=ECO:0006214 pmid=22927432,0.45272500000000004
disprot|DP00793r003 pos=102-115 term=IDPO:00056 ec=ECO:0006165 pmid=14988012,0.8371428571428572
disprot|DP00839r007 pos=253-285 term=IDPO:00056 ec=ECO:0006165 pmid=20471946,0.7006666666666667
disprot|DP00935r007 pos=47-58 term=IDPO:00056 ec=ECO:0006165 pmid=11941504,0.5385
disprot|DP01201r002 pos=1-30 term=IDPO:00056 ec=ECO:0006204 pmid=15943811,0.8678
disprot|DP01201r008 pos=60-147 term=IDPO:00056 ec=ECO:0006204 pmid=15943811,0.6106125
disprot|DP01248r002 pos=1-125 term=IDPO:00056 ec=ECO:0006204 pmid=20377183,0.2423375
disprot|DP01322r002 pos=396-591 term=IDPO:00056 ec=ECO:0006165 pmid=12736686,0.8778
disprot|DP01426r010 pos=346-370 term=IDPO:00056 ec=ECO:0006220 pmid=22569856,0.8393999999999999
disprot|DP01580r002 pos=69-86 term=IDPO:00056 ec=ECO:0006196 pmid=17008721,0.8107222222222222
disprot|DP01580r004 pos=97-114 term=IDPO:00056 ec=ECO:0006196 pmid=17008721,0.7905555555555556
disprot|DP01588r004 pos=301-322 term=IDPO:00056 ec=ECO:0006165 pmid=12606549,0.5241363636363636
disprot|DP01629r012 pos=347-395 term=IDPO:00056 ec=ECO:0006220 pmid=17882165,0.21283673469387757
disprot|DP01647r002 pos=479-518 term=IDPO:00056 ec=ECO:0006220 pmid=21733845,0.368125
disprot|DP01808r002 pos=90-120 term=IDPO:00056 ec=ECO:0006165 pmid=24604825,0.9170967741935484
disprot|DP02143r002 pos=90-118 term=IDPO:00056 ec=ECO:0006220 pmid=16977336,0.19020689655172413
disprot|DP02546r006 pos=153-170 term=IDPO:00056 ec=ECO:0006165 pmid=17085435,0.7068333333333333
disprot|DP02548r001 pos=22-110 term=IDPO:00056 ec=ECO:0006165 pmid=30573682,0.602275
disprot|DP02627r003 pos=242-258 term=IDPO:00056 ec=ECO:0006220 pmid=24997597,0.8407647058823529
disprot|DP02627r006 pos=201-214 term=IDPO:00056 ec=ECO:0006220 pmid=24997597,0.7905714285714286
